link_id,road_order,weekday,07:00:00,07:15:00,07:30:00,07:45:00,08:00:00,08:15:00,08:30:00,08:45:00,09:00:00,09:15:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00
78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,13.0,22.0,32.0,41.0,49.0,54.0,57.0,57.0,53.0,48.0,40.0,30.0,20.0,11.0,4.0,0.0,0,0,0,0,0
78,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,11.0,21.0,31.0,41.0,50.0,57.0,61.0,63.0,62.0,58.0,51.0,42.0,32.0,22.0,12.0,5.0,0.0,0,0,0,0
78,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,9.0,18.0,29.0,40.0,51.0,60.0,67.0,71.0,73.0,72.0,68.0,62.0,53.0,43.0,32.0,21.0,11.0,4.0,0.0,0,0,0,0
78,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,9.0,19.0,30.0,41.0,52.0,61.0,68.0,73.0,74.0,73.0,70.0,63.0,54.0,44.0,33.0,22.0,12.0,4.0,0.0,0,0,0,0
78,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,9.0,18.0,30.0,43.0,56.0,68.0,78.0,87.0,93.0,97.0,97.0,95.0,90.0,83.0,73.0,62.0,50.0,37.0,24.0,14.0,5.0,0.0,0,0,0,0
78,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,5.0,7.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,15.0,26.0,39.0,50.0,60.0,67.0,70.0,70.0,67.0,60.0,50.0,38.0,26.0,14.0,5.0,0.0,0,0,0,0,0,0
84,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,14.0,25.0,38.0,50.0,61.0,69.0,75.0,76.0,75.0,70.0,62.0,51.0,39.0,26.0,14.0,5.0,0.0,0,0,0,0,0
84,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,11.0,22.0,34.0,47.0,59.0,69.0,77.0,81.0,82.0,79.0,74.0,65.0,54.0,41.0,28.0,16.0,6.0,1.0,0,0,0,0,0
84,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,13.0,25.0,38.0,51.0,62.0,71.0,78.0,81.0,81.0,77.0,70.0,61.0,49.0,36.0,24.0,12.0,4.0,0.0,0,0,0,0,0,0
